id,source_country,source_latitude,source_longitude,target_country,target_latitude,target_longitude,year,time,amount,note,linestring
14,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1909,1909-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
15,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1910,1910-01-01,87,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
16,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1910,1910-01-01,156,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
17,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1910,1910-01-01,9,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
18,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1910,1910-01-01,57,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
19,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1910,1910-01-01,11,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
20,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1910,1910-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
21,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1910,1910-01-01,5,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
22,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1911,1911-01-01,5,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
23,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1911,1911-01-01,111,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
24,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1911,1911-01-01,55,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
25,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1911,1911-01-01,39,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
26,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1911,1911-01-01,9,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
